label,"GDP Per Capita"
2019,8717.18627810819
2018,9001.23424863499
2017,9925.38623770041
2016,8710.09668954121
2015,8814.00098681261
2014,12112.5882059697
2013,12300.3248822758
2012,12370.0242007149
2011,13245.6124995448
2010,11286.2430162457
2009,8597.91535151624
2008,8831.02311697566
2007,7348.03079355548
2006,5886.46358837728
2005,4790.43708777366
2004,3637.46238925733
2003,3070.91049061377
2002,2829.28319217077
2001,3156.79871788773
2000,3749.75324996168
1999,3478.37272997644
1998,5087.152221014
1997,5282.00882754111
1996,5166.16374470632
1995,4748.21552893015
1994,3500.61148991066
1993,2791.20912422419
1992,2596.91987612034
1991,3975.39008935633
1990,3100.28046842987
1989,2908.49615806386
1988,2300.37684355265
1987,2087.3076054076
1986,1941.49110905835
1985,1648.08210438614
1984,1578.92641703719
1983,1570.5397473792
1982,2226.76726079559
1981,2132.8833173447
1980,1947.27643012721
1979,1908.48762658653
1978,1744.25712944487
1977,1567.00618230231
1976,1390.62497537665
1975,1153.8309583695
1974,1004.10491009099
1973,775.273300345189
1972,586.214404973525
1971,504.749516124995
1970,445.02310059739
1969,403.884267342212
1968,374.786775401462
1967,347.493056109702
1966,315.797202907062
1965,261.354354519834
1964,261.66661956418
1963,292.252136324528
1962,260.425653075282
1961,205.04076826426
1960,210.109899384623
